"Economic inactivity rate (Great Britain)"
"Percentage of people aged 16 to 64 who are not in employment and are not actively seeking work"
"Source: Office for National Statistics"

Data download generated by ONS Explore Local Statistics on 1 Nov 2024
https://explore-local-statistics.beta.ons.gov.uk/indicators/economic-inactivity-rate

Area code,Area name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E06000001,Hartlepool,31.3,30.8,29.2,28.3,27.2,29.9,31.3,30.2,31,27.2,28.9,28.6,28.4,29.6,28.6,26.8,27.2,25.8,27.3,29.7
E06000002,Middlesbrough,30,29.2,29.3,29.8,31.1,29.9,31.1,34,29.8,30.6,28.7,27.8,29.6,30.7,30.7,32,31.1,28.2,29.3,29.2
E06000003,Redcar and Cleveland,27.1,28.9,26.2,27.3,29.3,30.1,28.4,30.1,26,26.4,25.5,26.2,26.9,26.8,26.7,28.6,27.6,29.8,28.5,23.1
E06000004,Stockton-on-Tees,24.8,24,25.4,25.1,25.9,24.4,22.6,22,22.8,22.3,23.2,21,25.6,24.3,24.8,24.1,21,23.7,23.6,22.3
E06000005,Darlington,23.8,24.4,23.7,23.3,23.6,25.4,23.9,25.6,23,20.7,21.9,22.4,20.4,20.6,20.9,20.6,21.3,19.1,20.9,16
E06000006,Halton,29.9,25,29.1,25.5,27,26.4,25.4,25,24.5,24.7,26.1,20.7,24.7,21.6,23.3,20.1,25.1,20.4,20.3,25.9
E06000007,Warrington,21.8,21.2,19.4,23.9,20.2,21.4,19.5,20.5,18.9,16.8,19,18.5,21.2,19.8,21,17.3,16.9,18.1,20.4,17
E06000008,Blackburn with Darwen,27.7,28.8,30.1,29,30.6,29,31.6,33.6,30.3,30.8,30.6,29.9,30.6,31.3,29.3,28.4,28.7,28.5,27.4,29.5
E06000009,Blackpool,27.1,26.3,27,29.5,26.7,25,25.4,26.8,25.3,25.6,29.8,22.7,24.3,22.6,24.3,22.7,24,25.4,23.2,28.4
E06000010,Kingston upon Hull,26.2,29.5,29.8,29.1,33.4,28,28.2,27.2,27.9,26.5,26.3,26.8,25.5,24.5,21.8,23,22.5,24.5,25.2,25.2
E06000011,East Riding of Yorkshire,23.7,21,20.1,20.2,22.9,21.5,20.9,22,20.7,20.5,20.1,20.1,19.4,19.5,20.2,18.2,21.9,20,20.3,20.7
E06000012,North East Lincolnshire,23.8,25.1,23.8,23,23.1,22.4,20.9,23.6,22.5,23.3,24,22.8,24.1,26.3,22.2,25.1,23.4,25.2,25.9,22.9
E06000013,North Lincolnshire,23.5,22.7,21.1,21.8,22.2,22.5,23.2,22.5,21.9,20.9,22,25.2,22.8,20.7,24.2,24.2,22.2,26.7,19.8,22.7
E06000014,York,19.8,21.1,19,21.5,20.1,22.5,24.8,20.8,17.5,23.5,24,20.1,18.7,22.9,18.8,18.7,20.4,17.9,13.5,18.6
E06000015,Derby,25.8,27.6,27,25.2,23.8,22,24.4,23.2,21.9,22.1,21,20.6,22.8,25.5,22.6,22.6,20.9,23.3,23.2,17.2
E06000016,Leicester,30.6,30.1,25.8,26.1,28.5,29.2,29.7,29.2,27.3,26.7,30.1,31.1,32.7,28.8,29.5,25.2,23.3,31.9,26.7,28.1
E06000017,Rutland,22.4,18.5,18.1,20,22.4,19.5,19,17,20.3,20.1,17.2,20.1,17.9,16.9,18.7,21.1,24.4,22.7,18.1,17.8
E06000018,Nottingham,30.9,29.3,28.7,32.3,30,34.5,35.1,32,30.9,33.8,29.2,29.3,32.3,37.5,32.6,30.5,23.4,24.4,32,29.7
E06000019,Herefordshire,18.3,21.2,18.9,22.5,21.6,19.7,20.2,23.2,23.9,21.4,20.6,18.9,19.9,18.9,16.6,14.9,19.5,18.8,23.4,18.4
E06000020,Telford and Wrekin,23.3,20.5,22.6,24.9,22,24.5,25.4,23.7,24.8,21.5,23.7,22.4,20.3,23.4,24.3,19.6,21.4,23.9,21.3,22.5
E06000021,Stoke-on-Trent,29.3,28.5,29,26.8,27.8,27.6,27.2,26,29.4,27.4,25.5,26.1,24.3,25.3,25.9,24.2,22.3,20.4,24.3,21.9
E06000022,Bath and North East Somerset,21.4,19.8,24.6,21.7,21.4,22.8,24.4,26.4,21.4,22.9,22.3,20.2,20.9,21.6,17.7,19.6,14.9,19.7,22,19.6
E06000023,Bristol,22.8,23.5,22.2,24.3,24.1,21.8,20.5,22.2,23.7,23.8,22.7,19.6,20.8,18.3,19.8,19.7,18.6,19.3,19.2,20.8
E06000024,North Somerset,22.4,21.8,19.4,17.7,17.2,19.7,18.3,18.8,22.9,20.7,20.5,18.4,17.9,17,17.4,16.1,14.8,16.3,16.5,16.2
E06000025,South Gloucestershire,15.7,15.6,15.3,16.7,15.3,16.1,17.4,18.3,15.3,17.9,15.5,17.5,18.8,16.7,15.8,15.5,15.5,16.5,14.4,13.2
E06000026,Plymouth,24.9,25.2,23.6,22.7,24.9,22.8,26,25.1,21.2,21.5,22.8,21.3,22.3,21,20.6,22.4,20.7,21.5,23.7,25.1
E06000027,Torbay,27.5,25.6,22.8,23.9,22.8,22.9,25,24.9,23.7,25.2,23.6,20.6,20.7,21.1,21.1,21.9,24,23.1,22,24.3
E06000030,Swindon,18.1,17.8,17.3,14.9,17.3,16.6,17.7,21,20.7,19,18.6,19.3,16.5,15.9,17.5,17,17.8,21.6,21.1,18
E06000031,Peterborough,20.6,22.6,22.4,22.4,22.6,23.9,23.8,22.6,24.3,19.5,20.6,20.9,20.8,23,20.7,20.3,21.4,23.2,16.7,17.2
E06000032,Luton,24.1,27.5,25.6,27.7,26.4,27.1,25.4,29.4,27.6,24.4,28.1,27.8,28.1,23.7,24.9,25.9,25.1,25,27.6,25.4
E06000033,Southend-on-Sea,20.4,23,21.8,21.8,22.9,21.8,22.7,24.5,24.1,24,22.5,19.6,19.4,19.6,17.8,19.5,17.3,18.2,23,21
E06000034,Thurrock,21,21.9,22.7,22,21.7,21.1,22.9,21.2,22.7,19.5,21.8,21.7,23,21.7,20.9,18.5,19.3,18.6,14.7,19.4
E06000035,Medway,21.7,21.9,20.5,19.6,21.8,23.3,25.2,23.1,23.1,23.5,22.4,23.1,20,18.5,19,19.3,21.1,19.2,15.5,20
E06000036,Bracknell Forest,15.9,14.4,16.4,13.7,13.4,15.7,14.9,16.7,17.6,14.2,16.6,14.8,14.9,13.7,13.5,13.7,16.5,19.3,18.1,16.3
E06000037,West Berkshire,18,16.4,15.6,15.5,14.6,15.8,15.1,18.9,17.7,15.7,15.4,13.9,15,17,15.3,14.2,15.3,12.3,17.4,17.2
E06000038,Reading,19.8,20.3,18.1,20.3,19.5,19,23.7,21.3,23.2,22.1,22.5,22.8,20.7,20.5,19.3,18.3,15.3,15.5,18.9,11.3
E06000039,Slough,22.5,22,20.6,24.6,23.1,23,25.2,24.2,24,24.1,22.8,21.6,22.1,20.9,22.2,21.6,25.3,24.2,20.5,14.2
E06000040,Windsor and Maidenhead,19.7,18.2,19.1,18.7,18.8,19.2,19.5,19.9,19,19.2,17.6,16.8,16.8,15.8,16.9,16.7,19,17.9,15.3,14.5
E06000041,Wokingham,17.8,17.6,17.6,16.1,18.7,18.5,17.7,19.9,16.8,17.7,19.3,19.1,19.2,18,17.5,17.3,20,16.9,15.2,20
E06000042,Milton Keynes,17,16,17.6,17.1,17.9,18.6,18.8,20.1,19.1,20.6,20.4,18.9,22.5,18.9,22.3,17.8,16.7,16.5,16.7,21.6
E06000043,Brighton and Hove,20,23.3,21,22.5,21.6,22,23.8,24.7,21.5,22.2,21.1,23.5,20.4,21.9,22.5,21.1,18.4,18.3,20.8,20.9
E06000044,Portsmouth,23.4,20.7,20.9,23.9,22.1,24.1,22.5,22.8,22,23.5,25.2,25.1,22.6,23.7,22.2,26.1,20.8,19.3,23.9,17.9
E06000045,Southampton,22.9,27,25.1,22.9,22.9,24.8,27.3,24.8,26.4,24.4,25.7,19.1,24.6,23.1,21.7,20.5,20.6,20.9,20.4,21.6
E06000046,Isle of Wight,23.8,22.4,24.5,25.8,25.5,28.4,29.3,27.9,25,23,23.5,24,21.8,23.3,23.5,23.4,22.2,28.2,31.6,24
E06000047,County Durham,29.4,28.8,25.1,24.6,25,27,27.2,26.9,27,26.9,25.2,27,24.1,23.8,22.5,24.5,23.1,25.9,24.3,23.8
E06000049,Cheshire East,21.1,22.1,18.9,19.6,21.8,23.3,22.8,20.3,20.6,23.7,21.9,22.4,20,23.1,20.3,14.8,20.3,25.2,17.7,14.5
E06000050,Cheshire West and Chester,23.1,21.1,25.9,23.2,20.1,21.6,19,22.9,21.7,21.2,23.3,23.2,24.9,21.7,20.5,21.4,15.5,21.3,25.6,21.6
E06000051,Shropshire,20.7,19.9,21.1,21.3,21.3,19,19.3,19.2,18.5,17,18.7,16.2,17.6,18.7,15.2,17.1,19.2,23.2,17.9,18
E06000052,Cornwall,24.7,24.9,25,25.1,24.6,26.7,24,25,27.1,25.5,21.7,21.4,19.9,21.2,23.1,20,21.2,23,20.7,22.4
E06000053,Isles of Scilly,,,,,,,,,,,,,,,,,,,,
E06000054,Wiltshire,19.5,19.6,18.1,20.2,18.8,15.3,20,19.2,20.6,19.1,17.7,17.9,16.5,14.8,17.7,19.7,19.8,16,16.7,18.4
E06000055,Bedford,19.5,19.5,20.7,18.4,23.6,19.8,20,18.7,17.9,17.5,17.4,16.4,18.2,16.7,17.4,20.4,12.4,23.7,23.2,13.3
E06000056,Central Bedfordshire,16.6,19.2,20.5,18.1,15.3,18.7,18.6,18.6,21,20.8,15.3,18.6,19.4,14.3,15.8,18.2,17.1,18.3,16.7,14.4
